bike_station_id,fsq_id,venue_name,category,address,distance,price,rating,total_ratings
4591,52cd757b11d2a691812f93fe,Paint Nite,Bar,533 S 500 W,90.0,2.0,,
4591,4ad4f28ff964a52036fd20e3,Club Orange,Bar,533 S 500 W,90.0,2.0,,
4591,62a2127ce73a143f3f4501ca,Slackwater,Beer Bar,684 S 500 W,267.0,1.0,,
4591,54c3def2498ef58b7043770e,The Fallout,Night Club,625 S 600 W,268.0,,,
4591,5a21c7e4ee712062bf95eab3,Kiitos Brewing,Bar,608 W 700 S,378.0,2.0,7.8,29
4591,62d352c232c44b48ae1af7fe,Woodbine Food Hall and Bar,Bar,545 W 700 S,397.0,,,
4591,4ad4f28ff964a5203afd20e3,Club Vegas,Night Club,445 S 400 W,402.0,,,
4591,52575c9e498e311f6deb6a5e,Lo-Fi Cafe,Dive Bar,445 S 400 W,404.0,1.0,,
4591,4ad4f28ff964a52048fd20e3,Area 51,Night Club,451 S 400 W,413.0,,7.5,35
4591,5df058d7c834950007db2cee,Bewilder Brewing Co.,Bar,445 S 400 W,415.0,2.0,7.5,8
4591,551e437a498e8d65ee95a8dc,Club X,Concert Hall,445 S 400 W,415.0,2.0,,
4591,58af7a6f34935540dc767706,Fisher Brewing Company,Bar,320 W 800 S,666.0,2.0,8.3,49
4591,4f32046419833175d60a1603,Zanzibar,Night Club,679 S 200 W,765.0,,,
4591,4c11aa8dd41e76b06ee9310d,EXTRA INNINGS - Sheraton Salt Lake City,Bar,150 W 500 S,820.0,2.0,5.4,12
4591,4ad4f28ef964a5200afd20e3,Brewvies Cinema Pub,Indie Movie Theater,677 S 200 W,826.0,,8.2,156
4591,4c6e121fe6b7b1f706ccab8e,Quantum Ultralounge,Cocktail Bar,180 W 400 S,866.0,3.0,,
4591,5d1546e03221cb00231be1ad,Ibiza Ultra Lounge,Night Club,180 W 400 S,866.0,,,
4591,4d7c410086cfa1434f98c6a0,The Moose Lounge,Night Club,180 W 400 S,877.0,,6.1,17
4591,4bbc2776afe1b7135f24304b,In The Venue,Music Venue,579 W 200 S,888.0,,7.2,66
4591,4cf4737e94feb1f7823928ba,Clouseau's,Hotel Bar,600 S West Temple,889.0,3.0,,
4591,c05fd272a6d2431b5e7536d2,Bottoms Up,Bar,579 W 200 S,893.0,,,
4591,2412913118be4d8378b9ba3a,Gossip Slc,Night Club,579 W 200 S,896.0,,,
